gab;file_1;file_2;sample_size;threshold;tm;tnm;fm;precision;recall;f1;detlta;t1;t2
trip-yelp;tripadvisor-c;yelp-b;100;0.4;4;3;3;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.11658811569213867;1502319404.61835;1502319404.7349381
trip-yelp;tripadvisor-c;yelp-b;100;0.5;4;3;3;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.21625304222106934;1502319404.7349381;1502319404.9511912
trip-yelp;tripadvisor-c;yelp-b;100;0.6;4;3;3;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.12511634826660156;1502319404.9511912;1502319405.0763075
trip-yelp;tripadvisor-c;yelp-b;100;0.7;4;3;2;0.6666666666666666;0.5714285714285714;0.6153846153846153;0.10910868644714355;1502319405.0768244;1502319405.185933
trip-yelp;tripadvisor-c;yelp-b;100;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10511922836303711;1502319405.185933;1502319405.2910523
trip-yelp;tripadvisor-c;yelp-b;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10059499740600586;1502319405.2910523;1502319405.3916473
trip-yelp;tripadvisor-c;yelp-c;100;0.4;4;3;4;0.5;0.5714285714285714;0.5333333333333333;0.1206502914428711;1502319405.4126642;1502319405.5333145
trip-yelp;tripadvisor-c;yelp-c;100;0.5;4;3;4;0.5;0.5714285714285714;0.5333333333333333;0.11661481857299805;1502319405.5333145;1502319405.6499293
trip-yelp;tripadvisor-c;yelp-c;100;0.6;4;3;3;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.11208438873291016;1502319405.6499293;1502319405.7620137
trip-yelp;tripadvisor-c;yelp-c;100;0.7;3;4;0;1.0;0.42857142857142855;0.6;0.10608410835266113;1502319405.7620137;1502319405.8680978
trip-yelp;tripadvisor-c;yelp-c;100;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10382342338562012;1502319405.8680978;1502319405.9719212
trip-yelp;tripadvisor-c;yelp-c;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10057759284973145;1502319405.9719212;1502319406.0724988
trip-yelp;tripadvisor-c;yelp-d;100;0.4;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11759114265441895;1502319406.095028;1502319406.212619
trip-yelp;tripadvisor-c;yelp-d;100;0.5;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11709213256835938;1502319406.212619;1502319406.3297112
